"Label","Value"
"2013-03-16","4316"
"2013-03-23","3253"
"2013-03-30","4838"
"2013-04-06","18098"
"2013-04-13","22798"
"2013-04-20","6279"
"2013-04-27","5316"
"2013-05-04","10396"
"2013-05-11","7953"
"2013-05-18","4972"
"2013-05-25","3431"
"2013-06-01","5722"
"2013-06-08","2747"
"2013-06-15","4557"
"2013-06-22","3512"
"2013-06-29","5260"
"2013-07-06","3747"
"2013-07-13","5297"
"2013-07-20","7691"
"2013-07-27","6853"
"2013-08-03","6276"
"2013-08-10","15493"
"2013-08-17","13948"
"2013-08-24","21120"
"2013-08-31","25008"
"2013-09-07","22483"
"2013-09-14","16078"
"2013-09-21","26981"
"2013-09-28","48672"
"2013-10-05","36563"
"2013-10-12","65450"
"2013-10-19","55090"
"2013-10-26","39371"
"2013-11-02","35478"
"2013-11-09","106397"
"2013-11-16","175013"
"2013-11-23","203356"
"2013-11-30","304231"
"2013-12-07","222510"
"2013-12-14","179976"
"2013-12-21","151365"
"2013-12-28","72408"
"2014-01-04","90134"
"2014-01-11","115032"
"2014-01-18","123474"
"2014-01-25","169938"
"2014-02-01","134086"
"2014-02-08","141195"
"2014-02-15","133344"
"2014-02-22","94330"
"2014-03-01","95449"
"2014-03-08","112621"
"2014-03-15","112226"
"2014-03-22","104735"
"2014-03-29","102930"
"2014-04-05","87960"
"2014-04-12","82326"
"2014-04-19","75786"
"2014-04-26","81324"
"2014-05-03","79504"
"2014-05-10","81672"
"2014-05-17","79852"
"2014-05-24","85511"
"2014-05-31","135266"
"2014-06-07","119400"
"2014-06-14","102441"
"2014-06-21","137675"
"2014-06-28","85342"
"2014-07-05","92371"
"2014-07-12","90887"
"2014-07-19","101485"
"2014-07-26","94307"
"2014-08-02","124666"
"2014-08-09","86488"
"2014-08-16","97384"
"2014-08-23","89001"
"2014-08-30","118483"
"2014-09-06","97248"
"2014-09-13","111911"
"2014-09-20","159449"
"2014-09-27","121398"
"2014-10-04","122752"
"2014-10-11","181964"
"2014-10-18","152136"
"2014-10-25","116971"
"2014-11-01","118455"
"2014-11-08","104864"
"2014-11-15","87649"
"2014-11-22","103697"
"2014-11-29","131359"
"2014-12-06","126042"
"2014-12-13","95940"
"2014-12-20","124138"
"2014-12-27","82531"
"2015-01-03","94464"
"2015-01-10","99075"
"2015-01-17","109453"
"2015-01-24","126987"
"2015-01-31","117254"
"2015-02-07","113195"
"2015-02-14","129407"
"2015-02-21","124114"
"2015-02-28","158020"
"2015-03-07","171939"
"2015-03-14","146892"
"2015-03-21","135381"
"2015-03-28","121327"
"2015-04-04","121412"
"2015-04-11","120894"
"2015-04-18","144498"
"2015-04-25","131769"
"2015-05-02","118512"
"2015-05-09","128218"
"2015-05-16","150556"
"2015-05-23","117330"
"2015-05-30","209841"
"2015-06-06","128808"
"2015-06-13","150204"
"2015-06-20","135604"
"2015-06-27","146570"
"2015-07-04","141264"
"2015-07-11","135020"
"2015-07-18","115498"
"2015-07-25","118099"
"2015-08-01","107965"
"2015-08-08","102672"
"2015-08-15","161260"
"2015-08-22","178843"
"2015-08-29","114182"
"2015-09-05","93857"
"2015-09-12","132269"
"2015-09-19","137384"
"2015-09-26","142067"
"2015-10-03","162749"
"2015-10-10","162630"
"2015-10-17","127499"
"2015-10-24","174515"
"2015-10-31","225497"
"2015-11-07","238524"
"2015-11-14","146560"
"2015-11-21","194913"
"2015-11-28","174639"
"2015-12-05","167690"
"2015-12-12","193162"
"2015-12-19","178819"
"2015-12-26","136172"
"2016-01-02","109515"
"2016-01-09","182617"
"2016-01-16","177431"
"2016-01-23","183501"
"2016-01-30","183438"
"2016-02-06","146719"
"2016-02-13","175377"
"2016-02-20","190090"
"2016-02-27","157518"
"2016-03-05","195510"
"2016-03-12","186693"
"2016-03-19","208833"
"2016-03-26","227222"
"2016-04-02","197964"
"2016-04-09","209721"
"2016-04-16","167697"
"2016-04-23","167633"
"2016-04-30","160307"
"2016-05-07","190036"
"2016-05-14","182138"
"2016-05-21","190847"
"2016-05-28","175096"
"2016-06-04","207042"
"2016-06-11","247414"
"2016-06-18","226922"
"2016-06-25","216713"
"2016-07-02","190470"
"2016-07-09","158078"
"2016-07-16","167029"
"2016-07-23","186846"
"2016-07-30","161755"
"2016-08-06","209430"
"2016-08-13","268689"
"2016-08-20","202671"
"2016-08-27","233355"
"2016-09-03","254829"
"2016-09-10","172416"
"2016-09-17","220612"
"2016-09-24","293939"
"2016-10-01","261714"
"2016-10-08","346662"
"2016-10-15","297900"
"2016-10-22","250939"
"2016-10-29","249944"
"2016-11-05","296875"
"2016-11-12","282892"
"2016-11-19","360813"
"2016-11-26","288628"
"2016-12-03","197566"
"2016-12-10","249248"
"2016-12-17","229938"
"2016-12-24","334253"
"2016-12-31","243040"
"2017-01-07","293400"
"2017-01-14","342339"
"2017-01-21","300739"
"2017-01-28","351817"
"2017-02-04","362210"
"2017-02-11","420479"
"2017-02-18","302514"
"2017-02-25","310580"
"2017-03-04","383433"
"2017-03-11","481454"
"2017-03-18","356015"
"2017-03-25","459060"
"2017-04-01","603854"
"2017-04-08","528804"
"2017-04-15","429000"
"2017-04-22","496042"
"2017-04-29","484646"
"2017-05-06","702434"
"2017-05-13","686852"
"2017-05-20","607545"
"2017-05-27","691532"
"2017-06-03","705869"
"2017-06-10","776757"
"2017-06-17","524540"
"2017-06-24","490309"
"2017-07-01","432857"
"2017-07-08","387713"
"2017-07-15","364305"
"2017-07-22","410477"
"2017-07-29","439844"
"2017-08-05","380188"
"2017-08-12","389103"
"2017-08-19","502316"
"2017-08-26","381951"
"2017-09-02","500628"
"2017-09-09","591897"
"2017-09-16","432316"
"2017-09-23","585383"
"2017-09-30","605439"
"2017-10-07","554458"
"2017-10-14","578943"
"2017-10-21","486742"
"2017-10-28","613363"
"2017-11-04","752471"
"2017-11-11","540467"
"2017-11-18","648821"
"2017-11-25","818934"
"2017-12-02","1123831"
"2017-12-09","1475858"
"2017-12-16","1288122"
"2017-12-23","1364234"
"2017-12-30","738196"
"2018-01-06","1369860"
"2018-01-13","1069822"
"2018-01-20","951336"
"2018-01-27","804250"
"2018-02-03","991214"
"2018-02-10","678641"
"2018-02-17","754687"
"2018-02-24","724365"
"2018-03-03","743893"
"2018-03-10","2478091"
"2018-03-17","1639374"
"2018-03-24","5106552"
"2018-03-31","8032164"
"2018-04-07","6536782"
"2018-04-14","4415053"
"2018-04-21","7784463"
"2018-04-28","5830195"
"2018-05-05","4879186"
"2018-05-12","5674576"
"2018-05-19","12133347"
"2018-05-26","2942882"
"2018-06-02","760809"
"2018-06-09","516237"
"2018-06-16","487708"
"2018-06-23","617210"
"2018-06-30","619246"
"2018-07-07","684901"
"2018-07-14","621892"
"2018-07-21","693400"
"2018-07-28","665718"
"2018-08-04","601983"
"2018-08-11","570184"
"2018-08-18","550312"
"2018-08-25","543969"
"2018-09-01","417758"
"2018-09-08","520788"
"2018-09-15","526980"
"2018-09-22","795567"
"2018-09-29","489641"
"2018-10-06","466353"
"2018-10-13","991114"
"2018-10-20","511421"
"2018-10-27","662000"
"2018-11-03","695845"
"2018-11-10","612643"
"2018-11-17","512919"
"2018-11-24","751631"
"2018-12-01","579284"
"2018-12-08","451910"
"2018-12-15","479638"
"2018-12-22","1145536"
"2018-12-29","353355"
"2019-01-05","411282"
"2019-01-12","482231"
"2019-01-19","453791"
"2019-01-26","509720"
"2019-02-02","470037"
"2019-02-09","414038"
"2019-02-16","467079"
"2019-02-23","459933"
"2019-03-02","610503"
"2019-03-09","454099"
"2019-03-16","565547"
"2019-03-23","447809"
"2019-03-30","702548"
"2019-04-06","652734"
"2019-04-13","561592"
"2019-04-20","481642"
"2019-04-27","522402"
"2019-05-04","489261"
"2019-05-11","715294"
"2019-05-18","567364"
"2019-05-25","568798"
"2019-06-01","611883"
"2019-06-08","494818"
"2019-06-15","516524"
"2019-06-22","765160"
"2019-06-29","1113064"
"2019-07-06","630740"
"2019-07-13","571061"
"2019-07-20","467609"
"2019-07-27","497267"
"2019-08-03","520800"
"2019-08-10","610092"
"2019-08-17","523644"
"2019-08-24","565865"
"2019-08-31","561519"
"2019-09-07","561748"
"2019-09-14","430820"
"2019-09-21","535058"
"2019-09-28","473498"
"2019-10-05","470059"
"2019-10-12","445314"
"2019-10-19","346411"
"2019-10-26","404546"
"2019-11-02","451507"
"2019-11-09","341317"
"2019-11-16","310058"
"2019-11-23","320184"
"2019-11-30","316290"
"2019-12-07","335934"
"2019-12-14","311887"
"2019-12-21","352160"
"2019-12-28","294653"
"2020-01-04","340298"
"2020-01-11","458394"
"2020-01-18","424214"
"2020-01-25","326397"
"2020-02-01","343774"
"2020-02-08","415103"
"2020-02-15","407198"
"2020-02-22","401275"
"2020-02-29","432811"
"2020-03-07","381024"
"2020-03-14","380372"
"2020-03-21","412046"
"2020-03-28","310327"
"2020-04-04","342256"
"2020-04-11","394849"
"2020-04-18","405901"
"2020-04-25","618429"
"2020-05-02","566826"
"2020-05-09","636535"
"2020-05-16","484682"
"2020-05-23","579444"
"2020-05-30","498075"
"2020-06-06","529387"
"2020-06-13","717886"
"2020-06-20","688986"
"2020-06-27","722123"
"2020-07-04","684547"
"2020-07-11","679321"
"2020-07-18","469913"
"2020-07-25","688062"
"2020-08-01","711131"
"2020-08-08","840670"
"2020-08-15","750900"
"2020-08-22","719419"
"2020-08-29","705721"
"2020-09-05","932777"
"2020-09-12","678603"
"2020-09-19","604039"
"2020-09-26","502634"
"2020-10-03","729792"
"2020-10-10","682424"
"2020-10-17","471754"
"2020-10-24","675805"
"2020-10-31","797964"
"2020-11-07","579407"
"2020-11-14","445375"
"2020-11-21","670767"
"2020-11-28","741647"
"2020-12-05","576767"
"2020-12-12","505358"
"2020-12-19","717591"
"2020-12-26","700293"
"2021-01-02","1214593"
"2021-01-09","1027704"
"2021-01-16","1066702"
"2021-01-23","1101408"
"2021-01-30","769713"
"2021-02-06","1083395"
"2021-02-13","1125465"
"2021-02-20","989831"
"2021-02-27","722336"
"2021-03-06","543859"
